,symbol,ltp,percent_change,open,high,low,quantity
237,RURU,664.2,0.03,674.9,660.0,663.0,13418
238,SADBL,409.5,-0.12,411.0,405.1,405.1,20980
239,SAGAR,2150.0,-2.41,2230.0,2100.0,2200.0,33154
240,SAGF,9.82,-1.8,10.0,9.81,9.81,1200
241,SAHAS,558.9,-0.64,567.0,555.0,557.8,65600
242,SAIL,1522.0,2.95,1598.0,1496.0,1507.9,145637
243,SALICO,604.0,-0.15,614.9,593.1,614.9,5211
244,SANIMA,330.0,0.0,333.0,328.1,330.0,68791
245,SANVI,907.0,-4.63,978.9,890.0,970.0,105327
246,SAPDBL,888.0,-1.33,917.0,884.0,900.0,60137
247,SARBTM,866.9,0.41,874.0,854.0,870.0,45042
248,SBCF,9.56,0.1,9.75,9.55,9.74,23338
249,SBD89,1230.0,0.0,1230.0,1230.0,1230.0,20
250,SBI,400.0,-1.72,410.0,400.0,410.0,50278
251,SBL,384.0,-0.6,388.6,378.6,386.2,213382
252,SBLD2091,1094.0,0.83,1085.0,1085.0,1085.0,1
253,SCB,633.0,0.24,634.5,631.1,631.5,28318
254,SEF,9.62,0.0,9.81,9.62,9.81,8425
255,SFCL,390.1,-0.74,400.8,390.0,400.8,16468
256,SFEF,9.75,0.0,9.75,9.56,9.56,1000
257,SFMF,10.01,-1.77,10.01,10.01,10.01,5000
258,SGHC,418.1,-2.56,429.0,410.0,420.6,60245
259,SGIC,476.0,-0.83,479.9,473.1,475.0,12184
260,SHEL,287.1,-1.0,295.8,285.2,295.8,139785
261,SHINE,403.0,-0.62,407.0,400.0,405.0,35045
262,SHINED,1117.0,-2.53,1130.0,1117.0,1124.0,220
263,SHIVM,609.0,-0.56,619.0,607.0,616.0,156312
264,SHL,497.0,0.79,513.0,493.1,493.2,38791
265,SHLB,1629.0,-0.06,1629.0,1601.0,1606.0,766
266,SHPC,535.2,0.04,541.8,533.0,537.0,119885
267,SICL,624.0,-0.16,634.09,612.5,615.0,13557
268,SIFC,620.0,-2.52,648.5,620.0,645.0,103617
269,SIGS3,10.25,-0.49,10.3,10.2,10.2,1150
270,SIKLES,612.0,-0.81,623.9,610.0,623.9,21527
271,SINDU,867.0,-2.24,912.9,845.1,880.0,125766
272,SJCL,297.0,-2.3,308.6,296.2,308.6,23860
273,SJLIC,443.0,-0.18,450.0,438.1,440.0,34965
274,SKBBL,764.4,-0.73,771.0,760.3,765.0,14053
275,SLBBL,822.0,-0.82,838.8,818.5,838.8,8756
276,SLBSL,1359.9,1.79,1359.9,1300.0,1321.0,2057
277,SLCF,9.75,1.04,9.75,9.6,9.6,11490
278,SMATA,788.1,0.25,801.5,786.0,800.0,6187
279,SMB,1917.0,2.46,1918.0,1860.0,1871.0,2349
280,SMFBS,1690.0,1.39,1690.0,1610.0,1633.6,164
281,SMH,700.0,-1.41,723.8,696.3,723.8,2485
282,SMHL,499.0,-1.77,512.9,495.0,512.9,36994
283,SMJC,497.0,0.4,502.8,491.0,492.0,25799
284,SMPDA,885.0,-0.11,889.0,880.0,885.2,3274
285,SNLI,466.0,-0.45,470.0,465.2,468.0,15320
286,SONA,433.7,-0.3,439.0,430.2,432.0,31700
287,SPC,517.0,-0.17,530.0,515.0,520.0,21348
288,SPDL,403.0,-0.25,414.0,399.0,403.0,191733
289,SPHL,579.9,0.66,596.3,572.0,577.0,17860
290,SPIL,709.0,0.42,710.0,702.5,706.0,2758
291,SPL,849.8,-0.07,863.0,834.3,834.3,2539
292,SRLI,392.8,0.1,396.0,390.1,392.4,35652
293,SSHL,189.5,-4.05,200.0,186.3,200.0,802691
294,STC,5595.0,-0.18,5640.0,5571.1,5571.1,1031
295,SWASTIK,2990.0,-0.3,3050.0,2952.0,2952.0,2726
296,SWBBL,746.9,0.26,755.0,728.0,755.0,10877
297,SWMF,680.0,0.15,681.9,668.1,671.1,6053
298,SYPNL,2128.9,4.84,2233.0,2071.3,2071.3,273987
299,TAMOR,448.0,0.18,450.0,440.0,450.0,15505
300,TPC,393.1,-2.29,414.8,391.1,394.3,210237
301,TRH,764.0,3.09,784.0,742.1,754.0,10012
302,TSHL,785.0,2.32,797.5,761.0,761.0,10341
303,TTL,990.0,-3.32,1056.0,980.0,1030.0,104983
304,TVCL,544.0,-3.37,573.0,528.1,573.0,42019
305,UAIL,459.0,-0.43,464.0,457.1,460.0,8685
306,UHEWA,557.1,-1.05,574.2,556.0,574.2,21280
307,ULBSL,3272.0,1.58,3285.4,3221.0,3280.0,559
308,ULHC,494.0,1.52,500.0,485.0,485.0,31599
309,UMHL,628.0,-2.33,643.0,620.2,643.0,158879
310,UMRH,553.0,-1.76,574.0,552.1,574.0,16550
311,UNHPL,498.0,-3.28,531.0,495.0,525.1,628491
312,UNL,47900.0,1.91,47900.0,47000.0,47000.0,11
313,UNLB,1860.0,-1.17,1870.0,1844.4,1870.0,1076
314,UPCL,373.0,0.27,381.0,370.0,372.0,151114
315,UPPER,183.4,-1.93,190.7,182.7,190.7,174094
316,USHEC,491.0,0.22,499.0,484.0,497.0,67829
317,USHL,770.0,-2.52,805.6,761.0,805.6,11370
318,USLB,1460.0,-0.68,1490.0,1445.0,1470.0,3809
319,VLBS,766.0,-0.04,780.0,765.0,779.9,3162
320,VLUCL,575.1,1.41,583.1,566.5,577.9,9496
321,WNLB,1517.0,-1.17,1540.0,1513.0,1532.0,1543
